date,price,order
2016-01-05 13:05:00,36.0351565,10
2016-01-06 05:00:00,35.31445337,10
2016-01-06 08:20:00,34.6081643026,20
2016-01-06 14:00:00,33.9160010165,40
2016-01-06 21:00:00,33.2376809962,80
2016-01-07 01:50:00,32.5729273763,160
2016-01-07 10:50:00,34.0587713827,-320
2016-01-08 10:05:00,32.82081423,10
2016-01-08 12:25:00,33.6413345858,-10
2016-01-11 23:50:00,30.82935418,10
2016-01-12 08:15:00,31.6000880345,-10
2016-01-15 03:55:00,29.83876933,10
2016-01-15 12:30:00,29.2419939434,10
2016-01-17 18:00:00,28.6571540645,20
2016-01-18 06:50:00,29.8262370469,-40
2016-01-19 22:55:00,27.58619465,10
2016-01-20 10:35:00,27.034470757,10
2016-01-20 12:10:00,26.4937813419,20
2016-01-20 18:00:00,27.5746084482,-40
