date,short position,long position,net position,short pnl,long pnl,short return,long return,accumulate return
2016-02-02 16:55:00,0,70,70,,,,,0.0
2016-02-03 16:55:00,0,0,0,,53.0075,,0.0176691666667,0.0176691666667
2016-02-04 16:55:00,0,0,0,,,,,0.0176691666667
2016-02-05 16:55:00,0,0,0,,,,,0.0176691666667
2016-02-08 16:55:00,0,0,0,,,,,0.0176691666667
2016-02-09 16:55:00,0,40,40,,7.3625,,0.00245416666667,0.0201233333333
2016-02-10 16:55:00,0,10,10,,56.4025,,0.0188008333333,0.0389241666667
2016-02-11 16:55:00,0,0,0,,46.51,,0.0155033333333,0.0544275
2016-02-12 16:55:00,0,0,0,,,,,0.0544275
2016-02-15 12:55:00,0,0,0,,,,,0.0544275
2016-02-16 16:55:00,0,0,0,,,,,0.0544275
2016-02-17 16:55:00,0,0,0,,,,,0.0544275
2016-02-18 16:55:00,0,0,0,,,,,0.0544275
2016-02-19 16:55:00,0,0,0,,,,,0.0544275
2016-02-22 14:25:00,0,0,0,,,,,0.0544275
2016-02-23 16:55:00,0,0,0,,,,,0.0544275
2016-02-24 16:55:00,0,0,0,,,,,0.0544275
2016-02-25 16:55:00,0,0,0,,,,,0.0544275
2016-02-26 16:55:00,0,0,0,8.67,,0.00289,,0.0573175
2016-02-29 16:55:00,0,0,0,,,,,0.0573175
2016-03-01 16:55:00,-10,0,-10,8.56,,0.00285333333333,,0.0601708333333
2016-03-02 16:55:00,-20,0,-20,,,,,0.0601708333333
2016-03-03 16:55:00,-20,0,-20,,,,,0.0601708333333
2016-03-04 16:55:00,-80,0,-80,,,,,0.0601708333333
2016-03-07 16:55:00,-320,0,-320,,,,,0.0601708333333
2016-03-08 16:55:00,0,0,0,296.5275,,0.0988425,,0.159013333333
2016-03-09 16:55:00,0,0,0,,,,,0.159013333333
2016-03-10 16:55:00,0,0,0,,,,,0.159013333333
2016-03-11 16:55:00,0,0,0,,,,,0.159013333333
2016-03-14 16:55:00,0,0,0,,,,,0.159013333333
2016-03-15 16:55:00,0,0,0,,,,,0.159013333333
2016-03-16 16:55:00,0,0,0,,,,,0.159013333333
2016-03-17 16:55:00,-20,0,-20,,,,,0.159013333333
2016-03-18 16:55:00,0,0,0,40.315,,0.0134383333333,,0.172451666667
2016-03-21 14:25:00,0,0,0,,,,,0.172451666667
2016-03-22 16:55:00,-20,0,-20,,,,,0.172451666667
2016-03-23 16:55:00,0,0,0,20.6175,,0.0068725,,0.179324166667
2016-03-24 16:55:00,0,0,0,,,,,0.179324166667
2016-03-28 16:55:00,0,0,0,,,,,0.179324166667
2016-03-29 16:55:00,0,0,0,,,,,0.179324166667
2016-03-30 16:55:00,0,0,0,,,,,0.179324166667
2016-03-31 16:55:00,0,0,0,,,,,0.179324166667
2016-04-01 16:55:00,0,0,0,,,,,0.179324166667
2016-04-04 16:55:00,0,0,0,,,,,0.179324166667
2016-04-05 16:55:00,0,0,0,,,,,0.179324166667
2016-04-06 16:55:00,0,0,0,,,,,0.179324166667
2016-04-07 16:55:00,0,0,0,,,,,0.179324166667
2016-04-08 16:55:00,0,0,0,,,,,0.179324166667
2016-04-11 16:55:00,0,0,0,,,,,0.179324166667
2016-04-12 16:55:00,0,0,0,,,,,0.179324166667
2016-04-13 16:55:00,0,0,0,,,,,0.179324166667
2016-04-14 16:55:00,0,0,0,,,,,0.179324166667
2016-04-15 16:55:00,0,0,0,,,,,0.179324166667
2016-04-18 16:55:00,0,0,0,,,,,0.179324166667
2016-04-19 16:55:00,0,0,0,,,,,0.179324166667
2016-04-20 14:25:00,-10,0,-10,,,,,0.179324166667
2016-04-21 16:55:00,-40,0,-40,,,,,0.179324166667
2016-04-22 16:55:00,-40,0,-40,,,,,0.179324166667
2016-04-25 16:55:00,-40,0,-40,,,,,0.179324166667
2016-04-26 16:55:00,-40,0,-40,,,,,0.179324166667
2016-04-27 16:55:00,-80,0,-80,,,,,0.179324166667
2016-04-28 16:55:00,-160,0,-160,,,,,0.179324166667
2016-04-29 16:55:00,-160,0,-160,,,,,0.179324166667
2016-05-02 16:55:00,-160,0,-160,,,,,0.179324166667
2016-05-03 16:55:00,0,0,0,180.4725,,0.0601575,,0.239481666667
2016-05-04 16:55:00,0,0,0,,,,,0.239481666667
2016-05-05 16:55:00,0,0,0,,,,,0.239481666667
2016-05-06 16:55:00,0,0,0,,,,,0.239481666667
2016-05-09 16:55:00,0,0,0,,,,,0.239481666667
2016-05-10 16:55:00,0,0,0,,,,,0.239481666667
2016-05-11 16:55:00,0,0,0,,,,,0.239481666667
2016-05-12 16:55:00,-10,0,-10,,,,,0.239481666667
2016-05-13 16:55:00,-10,0,-10,,,,,0.239481666667
2016-05-16 16:55:00,-20,0,-20,,,,,0.239481666667
2016-05-17 16:55:00,-40,0,-40,,,,,0.239481666667
2016-05-18 16:55:00,-40,0,-40,,,,,0.239481666667
2016-05-19 16:55:00,0,0,0,47.9425,,0.0159808333333,,0.2554625
