date,short cashflow,exit order,exit price,return
2016-02-26 10:00:00,346.8,10.0,33.813,0.00289
2016-03-01 09:45:00,342.4,10.0,33.384,0.00285333333333
2016-03-08 16:30:00,11861.1,320.0,36.1392890625,0.0988425
2016-03-18 15:20:00,1612.6,40.0,39.307125,0.0134383333333
2016-03-23 10:40:00,824.7,20.0,40.204125,0.0068725
2016-05-03 09:50:00,7218.9,160.0,43.990171875,0.0601575
2016-05-19 10:05:00,1917.7,40.0,46.7439375,0.0159808333333
2016-06-01 05:00:00,496.4,10.0,48.399,0.00413666666667
2016-06-10 09:05:00,1017.8,20.0,49.61775,0.00848166666667
Sum,0.213653333333,,,
