date,price,order
2016-01-22 00:30:00,30.29,-10
2016-01-22 01:15:00,30.9,-10
2016-01-22 09:20:00,31.52,-20
2016-01-22 14:00:00,32.15,-40
2016-01-25 08:55:00,30.81365625,80
2016-01-28 08:00:00,32.91,-10
2016-01-28 09:00:00,33.57,-10
2016-01-28 09:15:00,34.24,-20
2016-01-28 10:50:00,32.8965,40
2016-01-28 11:20:00,33.54,-10
2016-01-29 09:35:00,34.21,-10
2016-01-29 11:30:00,33.028125,20
2016-03-04 11:10:00,35.34,-10
2016-03-04 15:35:00,36.05,-10
2016-03-07 09:45:00,36.77,-20
2016-03-07 11:50:00,37.5,-40
2016-03-08 07:50:00,38.25,-80
2016-03-08 10:55:00,36.619171875,160
2016-03-16 20:05:00,39.33,-10
2016-03-17 14:20:00,40.11,-10
2016-03-18 07:00:00,40.91,-20
2016-03-18 15:20:00,39.307125,40
2016-03-21 18:00:00,41.64,-10
2016-03-22 09:10:00,40.83,-10
2016-03-23 10:40:00,40.204125,20
2016-04-20 12:40:00,42.45,-10
2016-04-20 14:25:00,42.64,10
