date,long cashflow,exit order,exit price,return
2016-01-22 01:15:00,-18056.0939,-600,30.9962945283,0.180560939
2016-02-09 14:05:00,-138.7163719,-5,28.5755726114,0.001387163719
2016-02-10 10:30:00,-416.4658748,-15,28.5973234029,0.004164658748
2016-02-11 20:20:00,-268.497167,-10,27.655208201,0.00268497167
2016-05-27 16:55:00,0.0,0,0.0,0.0
