date,price,order
2016-02-26 09:20:00,34.68,-10
2016-02-26 10:00:00,33.813,10
2016-03-01 01:20:00,34.24,-10
2016-03-01 09:45:00,33.384,10
2016-03-01 11:30:00,34.21,-10
2016-03-02 11:05:00,34.9,-10
2016-03-04 11:30:00,35.6,-20
2016-03-04 16:50:00,36.31,-40
2016-03-07 10:15:00,37.03,-80
2016-03-07 12:30:00,37.77,-160
2016-03-08 16:30:00,36.1392890625,320
2016-03-16 20:05:00,39.33,-10
2016-03-17 14:20:00,40.11,-10
2016-03-18 07:00:00,40.91,-20
2016-03-18 15:20:00,39.307125,40
2016-03-21 18:00:00,41.64,-10
2016-03-22 09:10:00,40.83,-10
2016-03-23 10:40:00,40.204125,20
2016-04-20 12:40:00,42.45,-10
2016-04-20 23:00:00,44.17,-20
2016-04-21 09:40:00,43.3,-10
2016-04-27 05:40:00,45.05,-40
2016-04-28 13:35:00,45.95,-80
2016-04-29 16:55:00,45.97,160
